000000.000|    9748.0000kb|   9748.0000kb added| ALWAYS| Logging started at 2014-09-21T00:49:08.135
000000.001|    9764.0000kb|     16.0000kb added| ALWAYS| Loading RADS dynamic library: C:\Riot Games\League of Legends\RADS\RiotRadsIO.dll
000000.051|   10164.0000kb|    400.0000kb added|   OKAY| Riot::RADS::Reader::RadsExportsMain::Initialize: RADS library initializing with specified working directory "C:\Riot Games\League of Legends\RADS\solutions\lol_game_client_sln\releases\0.0.1.55\deploy".
000000.051|   10184.0000kb|     20.0000kb added|   OKAY| Riot::RADS::Reader::RuntimeEnvironment::Create: Creating RADS runtime environment: RADS root directory = "C:/Riot Games/League of Legends/RADS"
000000.051|   10208.0000kb|     24.0000kb added|   OKAY| Riot::RADS::Reader::SolutionManifest::Load: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.55/solutionmanifest")
000000.051|   10248.0000kb|     40.0000kb added|   OKAY| Riot::RADS::Reader::ConfigurationManifest::Load: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.55/configurationmanifest")
000000.051|   10256.0000kb|      8.0000kb added|   OKAY| Riot::RADS::Reader::ReleaseManifest::LoadInternal: ("C:/Riot Games/League of Legends/RADS/projects/lol_game_client_en_us/releases/0.0.0.238/releasemanifest")
000000.148|   10500.0000kb|    244.0000kb added|   OKAY| Riot::RADS::Reader::ReleaseManifest::LoadInternal: ("C:/Riot Games/League of Legends/RADS/projects/lol_game_client/releases/0.0.0.250/releasemanifest")
000000.462|   17948.0000kb|   7448.0000kb added| ALWAYS| Loaded RADS dynamic library: C:\Riot Games\League of Legends\RADS\RiotRadsIO.dll
000000.479|   45112.0000kb|  27164.0000kb added|   OKAY| Unable to process data overlay file ./ToolsConfig.xml, defaulting to overlay now
000000.479|   45112.0000kb|      0.0000kb added| ALWAYS| Data overlay start folder initialized to DATA, Content/Src
000000.480|   45584.0000kb|    472.0000kb added| ALWAYS| Global logging level set to   WARN
000000.480|   45696.0000kb|    112.0000kb added| ALWAYS| Build Version: Version 4.16.0.253 (Sep 12 2014/15:17:27) [PUBLIC] <Releases/4.16> ChangeList: 713061
000000.587|   49448.0000kb|   3752.0000kb added| ALWAYS| Performing WSAStartup
000000.598|   50748.0000kb|   1300.0000kb added| ALWAYS| Started System Init
000000.598|   50756.0000kb|      8.0000kb added| ALWAYS| Maestro Init
000000.598|   50824.0000kb|     68.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.599|   50828.0000kb|      4.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.599|   50828.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.605|   51492.0000kb|    664.0000kb added| ALWAYS| Maestro completed init
000000.606|   51500.0000kb|      8.0000kb added| ALWAYS| zip manifest, 'ClientZips.txt', not found (expected).
000000.606|   51520.0000kb|     20.0000kb added| ALWAYS| Replay mode
000000.650|   52200.0000kb|    680.0000kb added| ALWAYS| StartSession called
000000.650|   52212.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.651|   52332.0000kb|    120.0000kb added| ALWAYS| Waiting until connection...
000000.782|   60616.0000kb|   8284.0000kb added| ALWAYS| InitRenderer() enter
000000.782|   60784.0000kb|    168.0000kb added| ALWAYS| r3dRenderLayer::Init(0x001604b4) enter
000000.801|   66688.0000kb|   5904.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.948|   75884.0000kb|   9196.0000kb added| ALWAYS| Loaded locale en_US via fontconfig
000000.952|   72180.0000kb|  -3704.0000kb added| ALWAYS| IME file, 'C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.55/deploy/Data/Menu/IMEConfig.xml', is optional. The following error is expected.
000000.952|   72268.0000kb|     88.0000kb added|  ERROR| RadsOpenFile: RADS cannot open file "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.55/deploy/Data/Menu/IMEConfig.xml" because it's not in the manifest.
000000.952|   72272.0000kb|      4.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.55/deploy/Data/Menu/IMEConfig.xml
000000.957|   72472.0000kb|    200.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects/lol_air_client/releases/0.0.1.110/deploy/preferences/
000000.960|   72728.0000kb|    256.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1366, YRes = 768, BPP = 32,  Flags=4) enter
000000.961|   72728.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000001.086|   84084.0000kb|  11356.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000001.382|   88036.0000kb|   3952.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000001.757|   88984.0000kb|    948.0000kb added| ALWAYS| OS Version String: 7 Service Pack 1 Home Premium, x64
000001.757|   88988.0000kb|      4.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.757|   88988.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.757|   88988.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 9.18.13.4052
000001.757|   88988.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.758|   89000.0000kb|     12.0000kb added| ALWAYS| {"messageType":"hardware_information","message_body":"Hardware Info","operating_system":"7 Service Pack 1 Home Premium, x64","cpu":"GenuineIntel","cpu_processor":"Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz","cpu_identifier":"Intel64 Family 6 Model 58 Stepping 9","cpu_topology":4,"gpu":"NVIDIA GeForce GTX 660M","video_memory":"2147483648","driver_version":"9.18.13.4052","physical_memory":8589934592}
000001.758|   89000.0000kb|      0.0000kb added| ALWAYS| -----HARDWARE INFORMATION START-----
000001.758|   89000.0000kb|      0.0000kb added| ALWAYS| Operating System: 7 Service Pack 1 Home Premium, x64
000001.758|   89000.0000kb|      0.0000kb added| ALWAYS| GPU Manufacturer: NVIDIA GeForce GTX 660M
000001.758|   89000.0000kb|      0.0000kb added| ALWAYS| GPU Memory: 2147483648
000001.758|   89000.0000kb|      0.0000kb added| ALWAYS| GPU Driver Version: 9.18.13.4052
000001.758|   89000.0000kb|      0.0000kb added| ALWAYS| CPU Brand: GenuineIntel
000001.758|   89000.0000kb|      0.0000kb added| ALWAYS| CPU Processor Name: Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz
000001.758|   89000.0000kb|      0.0000kb added| ALWAYS| CPU Identifier: Intel64 Family 6 Model 58 Stepping 9
000001.758|   89000.0000kb|      0.0000kb added| ALWAYS| CPU Speed: 2294
000001.758|   89000.0000kb|      0.0000kb added| ALWAYS| CPU Topology: 4 Core
000001.758|   89000.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.758|   89000.0000kb|      0.0000kb added| ALWAYS| -----HARDWARE INFORMATION END-----
000001.803|   89956.0000kb|    956.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000001.804|   90028.0000kb|     72.0000kb added| ALWAYS| In Riot::Win::Resize: Resizing the window and retrieving monitor info
000001.804|   90028.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Initial VideoMode(5d25468) and resolution (1366 x 768) 
000001.804|   90028.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: VideoMode(5d25468) and resolution (683 x 384) 
000001.805|   90048.0000kb|     20.0000kb added| ALWAYS| In Riot::Win::Resize: Resized window to resolution 1366x768
000001.861|   93464.0000kb|   3416.0000kb added| ALWAYS| Sleeping
000001.961|   93464.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.961|   93468.0000kb|      4.0000kb added| ALWAYS| End processing App Update
000001.961|   93468.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.061|   93468.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.061|   93468.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.062|   93468.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.161|   93468.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.161|   93468.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.162|   93468.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.261|   93468.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.261|   93468.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.262|   93468.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.361|   93468.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.361|   93468.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.362|   93468.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.461|   93468.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.462|   93468.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.462|   93468.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.561|   93468.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
