--- Log started at Wed Apr 10 18:46:52 2013

000000.000|  211308.0000kb| 211308.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.000|  211328.0000kb|     20.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.000|  211328.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2320
000000.000|  211328.0000kb|      0.0000kb added| ALWAYS| Display info:   
000000.000|  211328.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000000.084|  213976.0000kb|   2648.0000kb added| ALWAYS| Global Log Level set to WARN
000000.084|  213976.0000kb|      0.0000kb added| ALWAYS| Build Version: Version 3.5.0.71 (Apr  4 2013/20:31:44) [PUBLIC] <Releases/3.5_Balance> ChangeList: 231948
000000.949|  214984.0000kb|   1008.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.950|  215024.0000kb|     40.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.1.0/deploy/LolClient.exe" "216.133.234.206 5146 ZhUFOahnGdAqq3nR8VNYVg== <id_removed>"
000001.155|  215028.0000kb|      4.0000kb added| ALWAYS| Started System Init
000001.157|  215188.0000kb|    160.0000kb added| ALWAYS| Maestro Init
000001.166|  217848.0000kb|   2660.0000kb added| ALWAYS| Maestro completed init
000002.260|  219336.0000kb|   1488.0000kb added| ALWAYS| StartSession called
000002.260|  219336.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000002.260|  219360.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000002.283|  219368.0000kb|      8.0000kb added| ALWAYS| InitRenderer() enter
000002.295|  219480.0000kb|    112.0000kb added| ALWAYS| r3dRenderLayer::Init(0x002408c8) enter
000003.226|  201668.0000kb| -17812.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000006.687|  217780.0000kb|  16112.0000kb added| ALWAYS| Loaded locale en_US via fontconfig
000007.053|  215536.0000kb|  -2244.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.223/deploy/Data/Menu/IMEConfig.xml
000007.273|  215880.0000kb|    344.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.1.0\deploy\preferences\
000007.719|  216292.0000kb|    412.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1366, YRes = 768, BPP = 32,  Flags=256, RenderPath = 101) enter
000007.720|  216320.0000kb|     28.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000010.726|  225232.0000kb|   8912.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000013.310|  229844.0000kb|   4612.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000013.310|  229860.0000kb|     16.0000kb added| ALWAYS| In Riot::Win::Resize: Resizing the window and retrieving monitor info
000013.328|  229900.0000kb|     40.0000kb added| ALWAYS| In Riot::Win::Resize: Initial VideoMode(107c0d68) and resolution (1366 x 768) 
000013.328|  229900.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: VideoMode(107c0d68) and resolution (683 x 384) 
000013.329|  229964.0000kb|     64.0000kb added| ALWAYS| In Riot::Win::Resize: Resized window to resolution 1366x768
000013.740|  235272.0000kb|   5308.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000014.656|  238524.0000kb|   3252.0000kb added| ALWAYS| Sleeping
000014.756|  238524.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000014.765|  238588.0000kb|     64.0000kb added| ALWAYS| End processing App Update
000014.766|  238588.0000kb|      0.0000kb added| ALWAYS| Sleeping
000014.866|  238592.0000kb|      4.0000kb added| ALWAYS| Start processing App Update
000014.866|  238600.0000kb|      8.0000kb added| ALWAYS| Connected
000014.866|  238648.0000kb|     48.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 000000002ee6fded, PlatformID: NA1
000014.866|  238652.0000kb|      4.0000kb added| ALWAYS| End processing App Update
000014.866|  238652.0000kb|      0.0000kb added| ALWAYS| Received client ID
000014.867|  238544.0000kb|   -108.0000kb added| ALWAYS| Set focus to app
000014.867|  238544.0000kb|      0.0000kb added| ALWAYS| Input started
000014.904|  238740.0000kb|    196.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.904|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.904|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.904|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.904|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell4, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.904|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell3, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.904|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.904|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell1, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.904|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell4, [r]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.904|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell3, [e]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.904|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.904|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell1, [q]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.904|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell4, [r]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.904|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell3, [e]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.904|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell1, [q]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell4, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell3, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell1, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell4, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell3, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell1, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell4, [r]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell3, [e]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.905|  238740.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell1, [q]] in C:\Riot Games\League of Legends\/Config/Input.ini
000014.934|  238856.0000kb|    116.0000kb added| ALWAYS| Query Status Req started
000015.054|  238856.0000kb|      0.0000kb added| ALWAYS| Query Status Req ended
000015.054|  238860.0000kb|      4.0000kb added| ALWAYS| Waiting for server response...
000015.154|  238872.0000kb|     12.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 3.5.0.71 [PUBLIC]
000015.154|  238904.0000kb|     32.0000kb added| ALWAYS| Started Map Map1
000015.194|  238964.0000kb|     60.0000kb added| ALWAYS| netUID: 0 defaultname
000015.194|  238964.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000015.239|  239052.0000kb|     88.0000kb added| ALWAYS| PlayGame Started
000017.515|  299260.0000kb|  60208.0000kb added| ALWAYS| PlayGame Entered
000017.515|  299288.0000kb|     28.0000kb added| ALWAYS| CurRenderPipeline
000017.562|  299376.0000kb|     88.0000kb added| ALWAYS| CreateParticleSystemManager
000018.628|  308408.0000kb|   9032.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
